# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 4.58040000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	-4.11734470e-03	4.26487688e-01	4.23008418e-04	-3.90584050e-03	4.32884891e-03
50              	6.07313800e-01	-4.93274532e-02	2.08509040e+00	1.64985900e+00	4.35231398e-01
100             	4.10967212e-01	3.03633038e-02	8.77920044e-01	8.49927234e-01	2.79928099e-02
150             	6.73881312e-01	-2.21675205e-02	1.21469554e+00	1.28122908e+00	-6.65335401e-02
200             	3.61316282e-01	1.76501973e-02	7.33398688e-01	7.28015626e-01	5.38306201e-03
250             	-4.79487596e-02	-4.74515521e-02	-1.92209520e-01	-1.44053520e-01	-4.81560004e-02
300             	-6.07720899e-01	-2.19490789e-01	-2.27189009e+00	-1.74366595e+00	-5.28224148e-01
350             	-3.13326108e-01	-2.99439505e-01	-6.10181378e-01	-6.18416797e-01	8.23541884e-03
400             	-1.07567712e+00	-3.44145023e-01	-2.86385506e+00	-2.50760465e+00	-3.56250403e-01
450             	-1.91800709e+00	-5.14562203e-01	-9.41222588e+00	-6.62412003e+00	-2.78810585e+00
500             	-3.31991981e+00	-3.90120296e-01	-8.67413996e+00	-7.65698979e+00	-1.01715017e+00
550             	-3.83596025e+00	-7.52280042e-01	-7.61146197e+00	-7.64169124e+00	3.02292657e-02
600             	-5.82336789e+00	-1.58427884e+00	-1.05950241e+01	-1.11208799e+01	5.25855847e-01
650             	5.30824015e+00	-7.10556213e-01	1.41307568e+01	1.23736185e+01	1.75713823e+00
700             	-6.33805607e+00	6.25829366e-01	-1.61627345e+01	-1.44194233e+01	-1.74331121e+00
750             	-7.23952413e+00	1.61813210e+00	-1.46932618e+01	-1.45861550e+01	-1.07106772e-01
800             	5.76410292e+00	-9.00393980e-04	1.32818511e+01	1.24050285e+01	8.76822618e-01
850             	-2.26280159e+01	-4.26583339e+00	-5.58954117e+01	-5.05757218e+01	-5.31968990e+00
900             	-1.82947349e+01	-3.01150427e+00	-3.68028420e+01	-3.66961559e+01	-1.06686075e-01
950             	-1.23755893e+01	-3.09265813e+00	-2.34129985e+01	-2.40820885e+01	6.69090022e-01
1000            	-1.74215622e+01	-2.98559413e+00	-5.20908104e+01	-4.34669674e+01	-8.62384295e+00
1050            	6.25008890e+00	8.22115561e-01	3.05730757e+01	2.15366268e+01	9.03644894e+00
1100            	-1.14891960e+01	-2.26898324e+00	-3.55064621e+01	-2.92424271e+01	-6.26403501e+00
1150            	-8.99206756e+00	-5.26803332e+00	-2.96767293e+01	-2.38304322e+01	-5.84629708e+00
1200            	1.92761543e+00	-2.24901741e+00	2.46967298e+01	1.42759803e+01	1.04207495e+01
1250            	-1.04580739e+01	6.24850752e-01	-3.51501099e+01	-2.80331289e+01	-7.11698102e+00
1300            	-2.24612047e+01	-6.94422988e+00	-7.86255540e+01	-6.17739817e+01	-1.68515723e+01
1350            	-2.18291438e+01	-2.68096624e+00	-6.09338249e+01	-5.22960563e+01	-8.63776863e+00
1400            	-1.55630156e+01	-1.96257182e+00	-5.18529231e+01	-4.14894772e+01	-1.03634459e+01
1450            	-1.30834971e+01	-1.71038252e+00	-4.12406333e+01	-3.37038137e+01	-7.53681958e+00
1500            	-7.36733531e+00	-4.38678844e-01	-2.59870809e+01	-2.03608757e+01	-5.62620513e+00
1550            	-1.56220935e+01	-2.21711575e+00	-4.33213742e+01	-3.72827806e+01	-6.03859357e+00
1600            	-1.49040203e+01	-1.52298698e+00	-4.12450332e+01	-3.55265370e+01	-5.71849628e+00
1650            	-1.30797361e+01	-2.03051477e+00	-3.57283828e+01	-3.09439275e+01	-4.78445534e+00
1700            	-3.05011424e-01	-3.46831687e-01	-3.62985545e+00	-2.11993915e+00	-1.50991630e+00
1750            	8.40116921e-01	1.41708536e-01	-1.55980049e+00	6.02166731e-02	-1.62001717e+00
1800            	-1.06463377e+01	-1.15416297e+00	-2.66062257e+01	-2.39494505e+01	-2.65677511e+00
1850            	-1.04324838e-01	-2.23031091e-01	-1.27711879e-01	-1.68180777e-01	4.04688982e-02
1900            	6.75774736e+00	3.83337250e-02	1.63222271e+01	1.49188609e+01	1.40336617e+00
1950            	-2.42274032e+00	9.96357588e-02	-6.01350654e+00	-5.42949359e+00	-5.84012952e-01
2000            	-1.58637075e+01	-2.37212844e+00	-3.96234479e+01	-3.56754314e+01	-3.94801652e+00
