# Residuals     
# Time          	p               	Ux              	Uy              	nut             
0               	N/A             	N/A             	N/A             	N/A             
50              	7.37377185e-01	2.75381919e-02	3.01129107e-01	N/A             
100             	7.02433766e-01	3.11607244e-02	1.73241543e-02	N/A             
150             	6.33637855e-01	1.95487299e-02	1.62108858e-02	N/A             
200             	6.09699871e-01	1.20980356e-02	1.77064805e-02	N/A             
250             	5.91650984e-01	1.16341206e-02	2.35619216e-02	N/A             
300             	5.59347390e-01	7.90416315e-03	7.31613223e-03	N/A             
350             	5.13734256e-01	6.74369247e-03	6.06134622e-03	N/A             
400             	4.93275477e-01	4.84186930e-03	7.65008956e-03	N/A             
450             	6.44093936e-01	3.10846903e-02	1.02232482e-02	N/A             
500             	6.48188067e-01	1.74058272e-02	1.02421531e-02	N/A             
550             	5.79187611e-01	3.11040762e-03	1.33550356e-02	N/A             
600             	4.18745600e-01	1.75842559e-03	1.07405402e-02	N/A             
650             	3.03013596e-01	2.33016250e-03	9.54310080e-03	N/A             
700             	2.78502846e-01	4.26234151e-03	7.24058924e-03	N/A             
750             	2.30379464e-01	4.28689932e-03	7.22680498e-03	N/A             
800             	5.17774125e-01	3.67890055e-03	6.12344495e-03	N/A             
850             	2.76060201e-01	2.91961165e-03	5.08552677e-03	N/A             
900             	1.41076179e-01	2.76041736e-03	5.51230196e-03	N/A             
950             	1.28255021e-01	2.57896941e-03	4.81839665e-03	N/A             
1000            	2.58565886e-01	2.58727114e-03	4.53628533e-03	N/A             
1050            	1.04610737e-01	2.42311234e-03	5.75426877e-03	N/A             
1100            	1.48244725e-01	2.00480383e-03	3.63580864e-03	N/A             
1150            	1.33848589e-01	1.60137220e-03	3.19960470e-03	N/A             
1200            	1.31713734e-01	1.37062053e-03	2.94095881e-03	N/A             
1250            	3.16356910e-01	1.39199859e-03	1.02246755e-02	N/A             
1300            	3.31368829e-01	1.06285885e-03	3.15459633e-03	N/A             
1350            	4.14118044e-01	9.56020691e-04	2.73647321e-03	N/A             
1400            	4.66377614e-01	8.38254021e-04	2.60264322e-03	N/A             
1450            	3.84705079e-01	7.48467115e-04	2.27117503e-03	N/A             
1500            	3.53126627e-01	6.86324072e-04	2.24893630e-03	N/A             
1550            	1.26408233e-01	6.93689192e-04	2.07714261e-03	N/A             
1600            	2.16831810e-01	6.51490399e-04	2.08129457e-03	N/A             
1650            	1.61945504e-01	5.84247241e-04	1.83524794e-03	N/A             
1700            	2.10336074e-01	5.04057974e-04	1.79559777e-03	N/A             
1750            	1.43800033e-01	4.24288595e-04	1.65610171e-03	N/A             
1800            	1.12187387e-01	4.27198238e-04	1.82844519e-03	N/A             
1850            	2.15153281e-01	4.31797511e-04	1.83310663e-03	N/A             
1900            	1.50685962e-01	3.56280141e-04	1.82266188e-03	N/A             
1950            	9.99477744e-02	3.15407334e-04	1.62545912e-03	N/A             
2000            	1.02667528e-01	3.24649674e-04	1.59501665e-03	N/A             
