# y+ ()         
# Time          	patch           	min             	max             	average         
0               	airfoil	8.05555445e-03	1.12525276e-02	1.08724111e-02
50              	airfoil	6.03279929e-05	2.89891963e-01	4.93675897e-03
100             	airfoil	1.28771356e-04	2.94107918e-01	8.44523154e-03
150             	airfoil	1.58554309e-04	9.38048964e-02	7.33768031e-03
200             	airfoil	1.42078416e-04	7.12296847e-02	6.70497859e-03
250             	airfoil	8.93004212e-05	5.37796593e-02	5.99732359e-03
300             	airfoil	3.12173363e-05	4.62609262e-02	5.63230190e-03
350             	airfoil	3.28246868e-05	3.30311321e-02	4.50413436e-03
400             	airfoil	7.96604644e-05	2.70878504e-02	4.05689150e-03
450             	airfoil	7.80305355e-05	1.28263869e-02	2.07154705e-03
500             	airfoil	5.97181361e-05	2.07654326e-02	3.31035584e-03
550             	airfoil	6.23752604e-05	1.96746322e-02	3.08566415e-03
600             	airfoil	5.21478138e-05	2.81449429e-02	3.18492367e-03
650             	airfoil	6.87421156e-05	1.96712042e-02	2.89419989e-03
700             	airfoil	8.12723971e-05	1.24279923e-02	2.58111744e-03
750             	airfoil	1.59429037e-05	1.31536660e-02	2.67593625e-03
800             	airfoil	1.05306044e-04	1.42825630e-02	3.39028706e-03
850             	airfoil	6.54515021e-05	3.08087423e-02	4.60286084e-03
900             	airfoil	1.00579456e-04	5.10809224e-02	4.01847814e-03
950             	airfoil	9.38882151e-05	7.22444450e-02	3.79955913e-03
1000            	airfoil	1.12270282e-04	2.23037438e-02	3.74549557e-03
1050            	airfoil	1.13110801e-04	1.39718443e-02	1.88888813e-03
1100            	airfoil	1.67484150e-04	1.62000160e-02	2.85601495e-03
1150            	airfoil	3.12919233e-05	1.12558315e-02	2.35860296e-03
1200            	airfoil	4.10086714e-05	1.35594951e-02	1.50955351e-03
1250            	airfoil	2.27850581e-04	4.73712922e-02	2.52180230e-03
1300            	airfoil	8.96011759e-05	3.67606534e-02	4.70277006e-03
1350            	airfoil	2.01758318e-04	1.32554019e-01	5.61618434e-03
1400            	airfoil	1.93194507e-04	8.51260792e-02	6.63474314e-03
1450            	airfoil	1.73436567e-04	4.46389794e-02	7.81123484e-03
1500            	airfoil	1.92012014e-04	4.66874477e-02	9.26304031e-03
1550            	airfoil	1.78836556e-04	3.36093743e-02	1.02190992e-02
1600            	airfoil	1.95596949e-04	5.07387967e-02	1.30675712e-02
1650            	airfoil	1.77472445e-04	6.43197330e-02	1.48678294e-02
1700            	airfoil	1.93080068e-04	1.25966554e-01	1.58124337e-02
1750            	airfoil	1.92943533e-04	6.07720720e-02	1.53053491e-02
1800            	airfoil	1.87286525e-04	8.42712129e-02	1.80714878e-02
1850            	airfoil	1.89267402e-04	8.28003735e-02	1.88902585e-02
1900            	airfoil	1.88418309e-04	5.60610699e-02	1.48130641e-02
1950            	airfoil	2.21257552e-04	6.96708656e-02	1.82013906e-02
2000            	airfoil	2.62713929e-04	9.67539354e-02	2.40655575e-02
